,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,Loans_to_Deposits,Int,Loans/Deposits(x)
,,,,,,,,Cash_to_Deposits,Float,Cash/Deposits(x)
,,,,,,,,Investment_toDeposits,Float,Investment/Deposits(x)
,,,,,,,,IncLoan_to_Deposit,Float,Inc Loan/Deposit(%)
,,,,,,,,Credit_to_Deposits,Float,Credit/Deposits(%)
,,,,,,,,InterestExpended_to_Interestearned,Float,Interest Expended / Interest earned(%)
,,,,,,,,Interestincome_to_Totalfunds,Float,Interest income / Total funds (%)
,,,,,,,,InterestExpended_to_Totalfunds,Float,Interest Expended / Total funds (%)
,,,,,,,,CASA,Float,CASA (%)
9,TTM/Daily  Ratios,http://jwttoken.cmots.com/Aidea/api/DailyRatios/476/S,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company Code,,,
,,,,,,,,TTMAson,Int,TTMAson
,,,,,,,,co_code,Int,CMOTS Company code 
,,,,,,,,MCAP,Float,Market CAP
,,,,,,,,EV,Float,EV 
,,,,,,,,PE,Float,PE 
,,,,,,,,PBV,Float,PBV 
,,,,,,,,DIVYIELD,Float,DIVYIELD 
,,,,,,,,EPS,Float,EPS 
,,,,,,,,BookValue,Float,Book Value 
,,,,,,,,ROA_TTM,Float,ROA TTM 
,,,,,,,,ROE_TTM,Float,ROE TTM 
,,,,,,,,ROCE_TTM,Float,ROCE TTM 
,,,,,,,,EBIT_TTM,Float,EBIT TTM 
,,,,,,,,EBITDA_TTM,Float,EBITDA TTM 
,,,,,,,,EV_Sales_TTM,Float,EV Sales TTM 
,,,,,,,,EV_EBITDA_TTM,Float,EV EBITDA TTM 
,,,,,,,,NetIncomeMargin_TTM,Float,Net Income Margin TTM 
,,,,,,,,GrossIncomeMargin_TTM,Float,Gross Income Margin TTM 
,,,,,,,,AssetTurnover_TTM,Float,Asset Turnover TTM 
,,,,,,,,CurrentRatio_TTM,Float,Current Ratio TTM 
,,,,,,,,Debt_Equity_TTM,Float,Debt Equity TTM 
,,,,,,,,Sales_TotalAssets_TTM,Float,Sales Total Assets TTM 
,,,,,,,,NetDebt_EBITDA_TTM,Float,Net Debt EBITDA TTM 
,,,,,,,,EBITDA_Margin_TTM,Float,EBITDA Margin TTM 
,,,,,,,,TotalShareHoldersEquity_TTM,int,Total Share Holders Equity TTM 
