"Date","Price","Open","High","Low","Vol.","Change %"
"28-09-2023","16,092.20","16,308.25","16,327.00","16,041.50","40.34M","-1.17%"
"27-09-2023","16,283.40","16,281.95","16,315.80","16,195.85","30.20M","0.03%"
"26-09-2023","16,278.25","16,241.55","16,325.25","16,231.25","30.57M","0.35%"
"25-09-2023","16,221.55","16,267.00","16,320.05","16,170.50","35.36M","-0.08%"
"22-09-2023","16,234.35","16,214.00","16,301.30","16,129.05","31.96M","0.21%"
"21-09-2023","16,200.40","16,468.95","16,516.55","16,160.60","33.16M","-1.69%"
"20-09-2023","16,479.70","16,495.20","16,628.95","16,411.60","34.97M","-0.51%"
"18-09-2023","16,563.90","16,451.80","16,647.05","16,397.40","40.95M","0.84%"
"15-09-2023","16,425.80","16,249.00","16,456.80","16,241.55","51.11M","1.58%"
"14-09-2023","16,169.65","16,065.45","16,193.40","16,056.90","26.00M","1.09%"
"13-09-2023","15,995.95","16,081.25","16,112.95","15,926.20","33.09M","-0.46%"
"12-09-2023","16,070.05","16,417.65","16,428.35","15,940.05","55.19M","-1.86%"
"11-09-2023","16,374.95","16,173.90","16,386.50","16,163.45","33.10M","1.69%"
"08-09-2023","16,102.90","16,056.95","16,130.45","15,995.85","38.51M","0.67%"
"07-09-2023","15,995.85","15,918.60","16,014.75","15,898.20","26.43M","0.47%"
"06-09-2023","15,921.25","15,973.50","15,974.85","15,842.80","31.45M","-0.13%"
"05-09-2023","15,942.75","15,966.45","16,030.35","15,919.05","34.64M","-0.01%"
"04-09-2023","15,943.60","16,039.60","16,040.40","15,855.90","50.88M","0.10%"
"01-09-2023","15,928.30","15,708.45","15,964.60","15,667.40","41.34M","1.65%"
"31-08-2023","15,670.25","15,712.20","15,783.15","15,643.55","233.71M","-0.05%"
"30-08-2023","15,678.10","15,654.20","15,732.30","15,623.70","39.28M","0.64%"
"29-08-2023","15,578.90","15,515.30","15,594.65","15,472.65","38.74M","0.67%"
"28-08-2023","15,475.25","15,402.05","15,521.80","15,392.35","41.47M","0.73%"
"25-08-2023","15,363.60","15,427.50","15,493.35","15,293.90","47.40M","-0.62%"
"24-08-2023","15,459.30","15,579.85","15,581.85","15,439.45","34.18M","-0.25%"
"23-08-2023","15,498.10","15,539.80","15,553.35","15,471.50","33.70M","-0.06%"
"22-08-2023","15,507.90","15,445.85","15,533.00","15,422.65","31.64M","0.52%"
"21-08-2023","15,427.60","15,395.00","15,456.15","15,338.65","33.50M","0.23%"
"18-08-2023","15,391.75","15,379.95","15,436.15","15,329.95","36.36M","-0.05%"
"17-08-2023","15,399.25","15,466.55","15,479.40","15,339.75","42.27M","-0.17%"
"16-08-2023","15,425.00","15,330.70","15,450.00","15,218.90","54.23M","0.64%"
"14-08-2023","15,327.45","15,369.75","15,371.90","15,122.95","45.54M","-0.33%"
"11-08-2023","15,378.10","15,484.00","15,488.40","15,355.75","86.16M","-0.43%"
"10-08-2023","15,444.80","15,492.55","15,522.80","15,400.60","99.90M","-0.27%"
"09-08-2023","15,486.20","15,381.75","15,502.55","15,272.60","49.04M","0.93%"
"08-08-2023","15,343.65","15,430.85","15,452.60","15,280.60","37.41M","-0.31%"
"07-08-2023","15,390.90","15,404.60","15,441.60","15,333.85","37.94M","0.41%"
"04-08-2023","15,328.40","15,469.60","15,513.55","15,218.60","40.68M","-0.33%"
"03-08-2023","15,379.80","15,406.45","15,489.90","15,316.05","37.68M","-0.32%"
"02-08-2023","15,428.90","15,688.75","15,694.80","15,300.10","58.06M","-1.66%"
"01-08-2023","15,688.70","15,720.95","15,813.90","15,638.70","36.80M","-0.12%"
"31-07-2023","15,708.05","15,574.55","15,738.15","15,512.90","38.48M","1.10%"
"28-07-2023","15,537.90","15,628.45","15,631.35","15,466.90","55.58M","-0.22%"
"27-07-2023","15,572.00","15,713.65","15,713.90","15,492.55","47.92M","-1.21%"
"26-07-2023","15,763.25","15,820.85","15,912.15","15,734.85","60.29M","-0.01%"
"25-07-2023","15,765.60","15,689.15","15,786.70","15,664.35","62.88M","0.95%"
"24-07-2023","15,617.55","15,614.30","15,715.65","15,581.60","55.13M","0.17%"
"21-07-2023","15,590.35","15,547.40","15,645.30","15,509.55","93.15M","0.09%"
"20-07-2023","15,577.00","15,544.45","15,589.90","15,434.40","32.98M","0.41%"
"19-07-2023","15,513.15","15,526.30","15,559.30","15,454.85","31.29M","0.00%"
"18-07-2023","15,513.80","15,558.35","15,595.75","15,443.05","37.33M","-0.08%"
"17-07-2023","15,526.80","15,641.45","15,643.80","15,477.70","45.80M","-0.32%"
"14-07-2023","15,576.10","15,574.45","15,605.90","15,513.30","40.13M","0.36%"
"13-07-2023","15,519.70","15,685.10","15,761.20","15,460.80","71.60M","-0.61%"
"12-07-2023","15,614.90","15,633.00","15,655.20","15,549.80","70.44M","-0.02%"
"11-07-2023","15,617.45","15,486.55","15,630.45","15,456.45","56.02M","1.39%"
"10-07-2023","15,403.20","15,556.25","15,630.20","15,387.20","50.97M","-0.62%"
"07-07-2023","15,498.85","15,423.20","15,565.75","15,374.50","61.86M","0.29%"
"06-07-2023","15,453.70","15,290.30","15,471.00","15,239.10","60.13M","1.12%"
"05-07-2023","15,281.90","15,108.40","15,304.20","15,048.20","91.05M","1.64%"
"04-07-2023","15,035.05","15,180.90","15,185.85","15,010.10","37.27M","-0.48%"
"03-07-2023","15,106.85","15,198.05","15,291.55","15,089.80","41.96M","-0.27%"
"30-06-2023","15,147.65","14,892.45","15,182.45","14,884.35","45.00M","2.07%"
"28-06-2023","14,840.55","14,798.95","14,859.55","14,767.40","56.50M","0.75%"
"27-06-2023","14,729.90","14,764.60","14,802.55","14,694.90","36.68M","0.08%"
"26-06-2023","14,717.85","14,563.05","14,745.65","14,527.60","35.01M","1.15%"
"23-06-2023","14,550.20","14,706.60","14,715.85","14,536.35","41.02M","-1.03%"
"22-06-2023","14,702.10","14,819.90","14,871.80","14,683.00","53.93M","-0.51%"
"21-06-2023","14,777.70","14,813.00","14,885.20","14,738.30","54.70M","-0.05%"
"20-06-2023","14,785.65","14,683.90","14,810.75","14,573.90","59.26M","0.74%"
"19-06-2023","14,676.70","14,807.65","14,842.30","14,658.05","49.33M","-0.62%"
"16-06-2023","14,768.45","14,747.85","14,788.15","14,701.55","81.97M","0.41%"
"15-06-2023","14,707.85","14,714.90","14,815.80","14,660.55","43.85M","0.17%"
"14-06-2023","14,682.70","14,692.75","14,718.15","14,635.90","32.95M","0.17%"
"13-06-2023","14,658.30","14,714.25","14,744.00","14,643.55","37.07M","-0.11%"
"12-06-2023","14,673.85","14,691.95","14,729.20","14,601.00","38.62M","0.33%"
"09-06-2023","14,626.00","14,730.05","14,759.55","14,610.20","34.32M","-0.45%"
"08-06-2023","14,692.00","14,866.25","14,903.10","14,669.80","54.01M","-0.86%"
"07-06-2023","14,819.45","14,798.45","14,842.50","14,716.35","42.58M","0.61%"
"06-06-2023","14,729.50","14,609.00","14,743.45","14,594.30","41.45M","1.09%"
"05-06-2023","14,570.25","14,469.70","14,598.40","14,449.75","43.61M","1.26%"
"02-06-2023","14,388.60","14,325.35","14,402.25","14,263.45","38.64M","0.92%"
"01-06-2023","14,257.00","14,202.40","14,303.30","14,168.75","37.13M","0.41%"
"31-05-2023","14,199.00","14,180.65","14,236.80","14,107.70","144.28M","0.15%"
"30-05-2023","14,177.85","14,241.15","14,273.30","14,164.75","29.91M","-0.29%"
"29-05-2023","14,219.60","14,254.85","14,315.35","14,158.00","41.96M","0.63%"
"26-05-2023","14,130.45","14,063.40","14,150.00","14,017.65","53.99M","0.72%"
"25-05-2023","14,029.50","13,963.05","14,050.85","13,920.75","51.41M","0.29%"
"24-05-2023","13,989.60","13,959.90","14,035.40","13,916.25","46.20M","0.05%"
"23-05-2023","13,982.60","13,907.55","13,994.60","13,884.70","48.82M","0.66%"
"22-05-2023","13,890.50","13,856.30","13,925.15","13,823.40","34.93M","0.19%"
"19-05-2023","13,863.55","13,799.00","13,876.55","13,647.60","55.72M","0.70%"
"18-05-2023","13,767.70","13,948.00","13,960.85","13,756.85","40.89M","-0.88%"
"17-05-2023","13,889.90","13,892.70","13,936.50","13,839.20","37.78M","0.09%"
"16-05-2023","13,877.70","14,046.40","14,067.05","13,851.20","40.38M","-0.93%"
"15-05-2023","14,007.85","13,952.75","14,082.45","13,931.40","68.83M","0.70%"
"12-05-2023","13,910.50","13,871.65","13,957.20","13,854.80","63.33M","0.77%"
"11-05-2023","13,803.75","13,810.85","13,826.90","13,736.05","45.82M","0.38%"
"10-05-2023","13,750.85","13,705.35","13,763.10","13,626.65","41.13M","0.75%"
"09-05-2023","13,648.50","13,631.15","13,712.40","13,600.05","43.50M","0.47%"
"08-05-2023","13,584.25","13,422.05","13,603.05","13,396.55","57.41M","1.79%"
"05-05-2023","13,345.80","13,314.30","13,453.65","13,287.65","39.11M","0.40%"
"04-05-2023","13,292.55","13,291.75","13,320.20","13,260.55","27.48M","0.11%"
"03-05-2023","13,278.60","13,273.20","13,289.25","13,215.95","25.49M","-0.03%"
"02-05-2023","13,283.15","13,212.30","13,307.45","13,147.90","43.95M","0.71%"
"28-04-2023","13,189.25","13,103.55","13,208.65","13,071.00","43.55M","0.90%"
"27-04-2023","13,071.80","12,984.65","13,084.95","12,961.40","27.94M","0.76%"
"26-04-2023","12,972.75","12,928.30","12,992.65","12,900.65","38.72M","0.53%"
"25-04-2023","12,904.55","12,916.95","12,942.85","12,869.10","39.82M","0.09%"
"24-04-2023","12,893.35","12,901.05","12,928.75","12,838.20","29.51M","-0.04%"
"21-04-2023","12,898.75","13,031.90","13,031.90","12,881.15","31.36M","-1.03%"
"20-04-2023","13,032.35","13,028.50","13,049.20","12,995.10","36.65M","0.23%"
"19-04-2023","13,002.55","12,992.10","13,056.10","12,981.15","33.30M","-0.02%"
