"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2021","14,631.10","14,747.35","14,855.45","14,601.70","594.74M","-1.77%"
"29-04-2021","14,894.90","14,979.00","15,044.35","14,814.45","511.47M","0.20%"
"28-04-2021","14,864.55","14,710.50","14,890.25","14,694.95","453.99M","1.44%"
"27-04-2021","14,653.05","14,493.80","14,667.55","14,484.85","442.21M","1.16%"
"26-04-2021","14,485.00","14,449.45","14,557.50","14,421.30","448.53M","1.00%"
"23-04-2021","14,341.35","14,326.35","14,461.15","14,273.30","476.61M","-0.45%"
"22-04-2021","14,406.15","14,219.15","14,424.75","14,151.40","516.99M","0.77%"
"20-04-2021","14,296.40","14,526.70","14,526.95","14,207.30","456.70M","-0.44%"
"19-04-2021","14,359.45","14,306.60","14,382.30","14,191.40","503.14M","-1.77%"
"16-04-2021","14,617.85","14,599.60","14,697.70","14,559.00","568.57M","0.25%"
"15-04-2021","14,581.45","14,522.40","14,597.55","14,353.20","556.85M","0.53%"
"13-04-2021","14,504.80","14,364.90","14,528.90","14,274.90","588.67M","1.36%"
"12-04-2021","14,310.80","14,644.65","14,652.50","14,248.70","638.48M","-3.53%"
"09-04-2021","14,834.85","14,882.65","14,918.45","14,785.65","498.35M","-0.26%"
"08-04-2021","14,873.80","14,875.65","14,984.15","14,821.10","503.73M","0.37%"
"07-04-2021","14,819.05","14,716.45","14,879.80","14,649.85","476.38M","0.92%"
"06-04-2021","14,683.50","14,737.00","14,779.10","14,573.90","474.21M","0.31%"
"05-04-2021","14,637.80","14,837.70","14,849.85","14,459.50","500.48M","-1.54%"
"01-04-2021","14,867.35","14,798.40","14,883.20","14,692.45","430.03M","1.20%"
"31-03-2021","14,690.70","14,811.85","14,813.75","14,670.25","436.87M","-1.04%"
"30-03-2021","14,845.10","14,628.50","14,876.30","14,617.60","594.52M","2.33%"
"26-03-2021","14,507.30","14,506.30","14,572.90","14,414.25","481.00M","1.27%"
"25-03-2021","14,324.90","14,570.90","14,575.60","14,264.40","606.82M","-1.54%"
"24-03-2021","14,549.40","14,712.45","14,752.35","14,535.00","456.40M","-1.79%"
"23-03-2021","14,814.75","14,768.55","14,878.60","14,707.00","474.15M","0.53%"
"22-03-2021","14,736.40","14,736.30","14,763.90","14,597.85","459.00M","-0.05%"
