"Date","Price","Open","High","Low","Vol.","Change %"
"14-07-2020","21,392.20","21,877.60","21,909.70","21,222.45","338.50M","-3.16%"
"13-07-2020","22,089.25","22,613.25","22,657.40","21,981.65","293.70M","-1.38%"
"10-07-2020","22,398.45","22,720.95","22,835.20","22,320.05","457.10M","-2.22%"
"09-07-2020","22,907.20","22,753.15","22,998.30","22,673.40","355.98M","1.43%"
"08-07-2020","22,584.65","22,700.90","23,080.60","22,499.50","673.13M","-0.19%"
"07-07-2020","22,628.00","22,254.30","22,674.50","22,040.35","455.77M","1.93%"
"06-07-2020","22,198.95","22,270.95","22,399.25","22,171.05","290.92M","1.59%"
"03-07-2020","21,852.40","22,101.75","22,130.30","21,768.00","256.18M","-0.46%"
"02-07-2020","21,953.20","22,133.80","22,344.85","21,890.50","398.99M","-0.11%"
"01-07-2020","21,977.60","21,354.10","22,061.60","21,281.85","385.96M","2.84%"
"30-06-2020","21,370.15","21,524.30","21,650.50","21,212.00","292.66M","0.05%"
"29-06-2020","21,359.00","21,291.55","21,440.05","21,026.45","328.00M","-1.08%"
"26-06-2020","21,592.05","21,735.05","21,784.65","21,320.10","375.59M","0.40%"
"25-06-2020","21,506.15","21,218.05","21,703.50","20,926.45","586.18M","0.37%"
"24-06-2020","21,426.80","22,479.35","22,479.55","21,336.35","684.57M","-3.76%"
"23-06-2020","22,264.90","21,859.25","22,322.30","21,647.80","527.94M","2.56%"
"22-06-2020","21,708.35","21,491.55","22,078.25","21,425.55","664.61M","1.74%"
"19-06-2020","21,338.10","20,970.10","21,467.65","20,878.25","523.37M","1.82%"
"18-06-2020","20,956.30","20,137.60","21,028.35","20,030.35","362.84M","3.74%"
"17-06-2020","20,201.75","20,137.45","20,627.90","19,978.15","453.53M","-0.47%"
"16-06-2020","20,296.70","20,500.65","20,638.85","19,507.05","552.45M","1.93%"
"15-06-2020","19,912.90","20,457.15","20,470.85","19,740.20","465.01M","-3.59%"
"12-06-2020","20,654.55","19,529.30","20,747.70","19,526.10","599.19M","0.63%"
"11-06-2020","20,525.15","21,084.70","21,244.45","20,458.30","747.07M","-2.72%"
"10-06-2020","21,100.10","20,760.95","21,251.45","20,671.55","582.99M","1.81%"
"09-06-2020","20,724.90","21,295.50","21,568.85","20,629.70","641.25M","-2.18%"
"08-06-2020","21,187.35","21,636.10","21,807.40","20,911.25","748.11M","0.73%"
"05-06-2020","21,034.50","20,516.40","21,198.70","20,425.05","637.45M","3.16%"
"04-06-2020","20,390.45","20,932.35","21,141.80","20,316.20","587.86M","-2.63%"
"03-06-2020","20,940.70","20,966.60","21,619.55","20,822.00","616.87M","2.00%"
"02-06-2020","20,530.20","20,120.60","20,615.75","19,852.55","448.32M","2.86%"
"01-06-2020","19,959.90","19,728.90","20,225.35","19,632.90","558.07M","3.43%"
"29-05-2020","19,297.25","18,962.00","19,358.05","18,729.90","581.73M","0.66%"
"28-05-2020","19,169.80","18,924.45","19,455.55","18,818.95","561.12M","2.45%"
"27-05-2020","18,710.55","17,603.40","18,874.25","17,560.35","538.00M","7.28%"
"26-05-2020","17,440.35","17,537.65","17,681.70","17,311.25","336.76M","0.93%"
"22-05-2020","17,278.90","17,554.25","17,952.25","17,105.00","484.79M","-2.57%"
"21-05-2020","17,735.10","17,901.95","18,200.70","17,658.55","347.58M","-0.59%"
"20-05-2020","17,840.20","17,486.50","18,002.65","17,407.70","326.23M","2.02%"
"19-05-2020","17,486.25","18,037.15","18,175.30","17,390.65","415.47M","-0.49%"
"18-05-2020","17,573.20","18,795.10","18,795.10","17,514.20","434.76M","-6.69%"
