"Date","Price","Open","High","Low","Vol.","Change %"
"29-09-2022","12,874.30","12,782.60","12,962.85","12,778.25","36.36M","1.33%"
"28-09-2022","12,705.40","12,548.35","12,750.65","12,525.70","24.28M","0.85%"
"27-09-2022","12,598.00","12,532.25","12,611.85","12,457.80","15.68M","0.98%"
"26-09-2022","12,475.50","12,570.85","12,614.05","12,441.20","16.88M","-1.07%"
"23-09-2022","12,610.65","12,602.85","12,740.10","12,594.50","20.28M","-0.02%"
"22-09-2022","12,612.85","12,506.15","12,644.95","12,500.75","15.48M","0.31%"
"21-09-2022","12,573.55","12,793.65","12,834.85","12,549.45","19.75M","-1.39%"
"20-09-2022","12,750.70","12,422.20","12,763.90","12,417.30","23.44M","3.08%"
"19-09-2022","12,369.60","12,366.95","12,396.15","12,185.40","17.08M","0.18%"
"16-09-2022","12,346.85","12,548.00","12,556.75","12,315.50","25.80M","-1.37%"
"15-09-2022","12,518.85","12,704.45","12,732.80","12,480.70","14.59M","-1.29%"
"14-09-2022","12,682.20","12,587.30","12,776.15","12,587.30","12.94M","-0.50%"
"13-09-2022","12,745.60","12,729.90","12,762.90","12,718.35","12.63M","0.24%"
"12-09-2022","12,715.25","12,707.85","12,759.75","12,695.10","11.22M","0.20%"
"09-09-2022","12,689.30","12,716.80","12,814.25","12,662.90","15.64M","-0.01%"
"08-09-2022","12,689.95","12,775.60","12,776.50","12,638.65","11.56M","-0.05%"
"07-09-2022","12,696.30","12,542.55","12,717.45","12,539.90","14.30M","0.78%"
"06-09-2022","12,598.00","12,597.20","12,624.30","12,567.35","11.02M","0.26%"
"05-09-2022","12,565.55","12,507.95","12,579.80","12,444.90","13.55M","0.47%"
"02-09-2022","12,506.15","12,587.65","12,634.95","12,485.45","14.41M","-0.39%"
"01-09-2022","12,555.00","12,619.30","12,701.95","12,546.35","15.61M","-1.14%"
"30-08-2022","12,699.40","12,588.90","12,715.75","12,560.90","15.60M","1.22%"
"29-08-2022","12,545.75","12,380.65","12,565.90","12,352.65","13.48M","-0.28%"
"26-08-2022","12,580.45","12,662.95","12,683.25","12,569.05","11.72M","-0.10%"
"25-08-2022","12,593.25","12,710.75","12,717.60","12,563.75","17.39M","-0.40%"
"24-08-2022","12,644.00","12,716.10","12,760.75","12,585.85","17.99M","-0.31%"
"23-08-2022","12,683.55","12,499.45","12,710.05","12,498.80","14.10M","0.76%"
"22-08-2022","12,588.25","12,723.35","12,794.60","12,565.50","15.22M","-1.65%"
"19-08-2022","12,799.95","12,935.95","12,982.05","12,771.75","17.78M","-1.05%"
"18-08-2022","12,935.75","12,934.35","12,948.35","12,797.45","18.52M","-0.34%"
"17-08-2022","12,979.25","12,987.00","13,011.90","12,936.35","21.24M","0.35%"
"16-08-2022","12,933.85","12,896.75","12,962.60","12,867.85","","0.54%"
"12-08-2022","12,864.00","13,016.50","13,017.50","12,830.45","29.62M","-1.15%"
"11-08-2022","13,014.20","12,998.40","13,033.75","12,961.40","21.49M","0.49%"
"10-08-2022","12,950.70","12,986.25","13,053.10","12,915.50","21.92M","0.08%"
"08-08-2022","12,940.25","12,952.05","12,962.95","12,878.10","14.14M","0.00%"
"05-08-2022","12,939.75","13,003.85","13,068.30","12,920.00","21.55M","-0.33%"
"04-08-2022","12,982.35","12,720.05","12,992.25","12,681.30","37.89M","2.37%"
