"Token","ShortName","Series","CompanyName","ticksize","Lotsize","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","Symbol","InstrumentType","PermittedToTrade","IssueCapital","WarningPercent","FreezePercent","CreditRating","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","BoardLotQty","Name","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","ExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MFill","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","EGM","AGM","Interest","Bonus","Rights","Dividends","LocalUpdateDateTime","DeleteFlag","Remarks","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotlMarketEligibility","SpotMarketEligibility","AuctionlMarketEligibility","MarginPercentage","ExchangeCode"
"19036","PODPIG","EQ","PODDAR PIGMENTS LTD",0.01,1,"","",0,10,"INE371C01013",476.15,279.2,476.15,2.5,"","","",0,0,0,336.65,224.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PODDARMENT"
"1904","KIRPNE","EQ","KIRLOSKAR PNEUMATIC CO. L",0.01,1,"","",0,10,"INE328A01017",0,0,42.5,6,"","","",0,0,0,10.8,7.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KIRLOSPNEU"
"19045","IIFL14","N6","IIFL SR V 10 NCD 07FB29",0.01,1,"","",0,1000,"INE866I08279",0,0,1120,805.6,"","","",0,0,0,1201.2,800.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","10IIFL29"
"19047","IIFL15","N7","IIFL SR VI 10.50 NCD 07FB29",0.01,1,"","",0,1000,"INE866I08295",0,0,1360,772.8,"","","",0,0,0,1165.2,776.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","105IIFL29"
"19061","MANAFI","EQ","MANAPPURAM FINANCE LIMITED",0.01,1,"","",0,2,"INE522D01027",247.6,138.35,247.6,9.8,"","","",0,0,0,256.02,209.47,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MANAPPURAM"
"19067","IIFL21","NC","10% IIFL Finance Ltd. Jun 25",0.01,1,"","",0,1000,"INE866I08303",0,0,1199,770,"","","",0,0,0,1194,796,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","985IIFL22"
"19073","AARENC","EQ","AARVI ENCON LIMITED",0.01,1,"","",0,10,"INE754X01016",184.25,96,203,20.15,"","","",0,0,0,122.54,81.69,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AARVI"
"19078","SGBT40","GB","2.50% SOV. GOLD BOND 16 JUN 28",0.01,1,"","",0,1000,"IN0020200104",0,0,8800,4501,"","","",0,0,0,9590.16,7846.49,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBJUN28"
"19079","ARVRE1","BE","ARVIND FASHIONS RIGHTS ENTITLE",0.01,1,"","",0,10,"INE955V20013",80,31.5,80,31.5,"","","",0,0,0,53.4,22.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ARVINDF-RE"
"19084","NIPNIT","EQ","NIPPON INDIA ETF NIFTY IT",0.01,1,"","",0,10,"INF204KB15V2",49.76,34.01,49.76,14,"","","",0,0,0,48.66,32.44,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ITBEES"
