ReportIndex,Report Name,API URL,Notes,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
27,Location,http://jwttoken.cmots.com/Aidea/api/locations/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS company code,TRUE,TRUE,
,,,,,,,,type,varchar(50),TYPE,TRUE,TRUE,
,,,,,,,,add1,varchar(50),ADD1,TRUE,FALSE,
,,,,,,,,add2,varchar(50),ADD2,TRUE,FALSE,
,,,,,,,,add3,varchar(50),ADD3,TRUE,FALSE,
,,,,,,,,city,varchar(50),CITY,TRUE,TRUE,
,,,,,,,,pin,varchar(50),PIN,TRUE,TRUE,
,,,,,,,,tel1,varchar(50),TEL1,,,
,,,,,,,,fax1,varchar(50),FAX1,,,
,,,,,,,,st_name,varchar(50),ST_NAME,,,
28,Credit Rating Info,http://jwttoken.cmots.com/Aidea/api/CreditRatingInfo/476,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,ratdate,datetime,RATDATE,TRUE,TRUE,
,,,,,,,,sectype,varchar(50),SEC TYPE,TRUE,TRUE,
,,,,,,,,amount,Int,AMOUNT,TRUE,,
,,,,,,,,rating,varchar(50),RATING,TRUE,TRUE,
,,,,,,,,ratingby,varchar(50),RATING BY,TRUE,TRUE,
,,,,,,,,type,varchar(50),TYPE,TRUE,TRUE,
,,,,,,,,note,varchar(50),NOTE,,,
,,,,,,,,stoblig,varchar(50),STOBLIG,,,
,,,,,,,,stattype,varchar(50),STAT TYPE,TRUE,TRUE,
29,Employee Count,http://jwttoken.cmots.com/Aidea/api/EmployeeCount/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,yrc,int,YRC,TRUE,TRUE,
,,,,,,,,totalempoyee_male,float,Total Empoyee Male,,,
,,,,,,,,totalempoyee_female,float,Total Empoyee Female,,,
,,,,,,,,totalempoyee,float,Total Empoyee,,,
,,,,,,,,totalemployee_contractbasis,float,Total Employee Contract basis,,,
,,,,,,,,permenantwomenemployee,float,Permenant Women Employee,,,
,,,,,,,,permenantdisabledemployee,float,Permenant Disabled Employee,,,
